backend,mutation_kind,arity,num_buckets,bucket_size,value_bits,plaintext_bits,lwe_dim,n_mutations,load_factor,n_attempted,n_succeeded,total_ms,ops_per_s,delta_bytes_total,cells_per_slot,row_width,segment_rows,db_rows,db_cols
simple,delete,2,1048576,4,2048,10,1275,41943,0.90,41943,41943,24481.945,1713.22,88414144,208,832,524288,20972,20800
simple,insert,2,1048576,4,8192,10,1275,41943,0.90,41943,41943,1088021.155,38.55,1921677810,823,3292,524288,40330,42796
simple,update,2,1048576,4,8192,10,1275,41943,0.90,41943,41943,193705.793,216.53,342414780,823,3292,524288,40330,42796
simple,delete,2,1048576,4,8192,10,1275,41943,0.90,41943,41943,198078.469,211.75,346337374,823,3292,524288,40330,42796
simple,insert,4,1048576,1,256,10,1275,10485,0.90,10485,10485,12938.423,810.38,20938356,29,29,262144,2760,2755
simple,update,4,1048576,1,256,10,1275,10485,0.90,10485,10485,1782.246,5883.03,3081584,29,29,262144,2760,2755
simple,delete,4,1048576,1,256,10,1275,10485,0.90,10485,10485,1990.090,5268.61,3417330,29,29,262144,2760,2755
simple,insert,4,1048576,1,2048,10,1275,10485,0.90,10485,10485,57592.726,182.05,148405724,208,208,262144,7282,7488
simple,update,4,1048576,1,2048,10,1275,10485,0.90,10485,10485,8070.633,1299.15,21702954,208,208,262144,7282,7488
simple,delete,4,1048576,1,2048,10,1275,10485,0.90,10485,10485,9058.781,1157.44,22185890,208,208,262144,7282,7488
simple,insert,4,1048576,1,8192,10,1275,10485,0.90,10485,10485,263347.124,39.81,580634700,823,823,262144,14564,14814
simple,update,4,1048576,1,8192,10,1275,10485,0.90,10485,10485,39706.307,264.06,85681404,823,823,262144,14564,14814
simple,delete,4,1048576,1,8192,10,1275,10485,0.90,10485,10485,38989.420,268.92,86662090,823,823,262144,14564,14814
simple,insert,4,4194304,1,256,10,1275,41943,0.90,41943,41943,38470.361,1090.27,83278432,29,29,1048576,5519,5510
simple,update,4,4194304,1,256,10,1275,41943,0.90,41943,41943,5267.973,7961.89,12327224,29,29,1048576,5519,5510
simple,delete,4,4194304,1,256,10,1275,41943,0.90,41943,41943,5950.155,7049.06,13670078,29,29,1048576,5519,5510
simple,insert,4,4194304,1,2048,10,1275,41943,0.90,41943,41943,324462.557,129.27,580708368,208,208,1048576,14769,14768
simple,update,4,4194304,1,2048,10,1275,41943,0.90,41943,41943,45879.630,914.20,86818074,208,208,1048576,14769,14768
simple,delete,4,4194304,1,2048,10,1275,41943,0.90,41943,41943,45134.373,929.29,88749688,208,208,1048576,14769,14768
simple,insert,4,4194304,1,8192,10,1275,41943,0.90,41943,41943,878878.397,47.72,2275399072,823,823,1048576,29128,29628
simple,update,4,4194304,1,8192,10,1275,41943,0.90,41943,41943,127225.550,329.67,342750324,823,823,1048576,29128,29628
simple,delete,4,4194304,1,8192,10,1275,41943,0.90,41943,41943,129594.114,323.65,346672918,823,823,1048576,29128,29628
simple,insert,4,524288,2,256,10,1275,10485,0.90,10485,10485,2021.352,5187.12,7982268,29,58,131072,2731,2784
simple,update,4,524288,2,256,10,1275,10485,0.90,10485,10485,762.265,13755.06,3081584,29,58,131072,2731,2784
simple,delete,4,524288,2,256,10,1275,10485,0.90,10485,10485,837.929,12512.99,3417330,29,58,131072,2731,2784
simple,insert,4,524288,2,2048,10,1275,10485,0.90,10485,10485,25420.455,412.46,54186430,208,416,131072,7282,7488
simple,update,4,524288,2,2048,10,1275,10485,0.90,10485,10485,8020.335,1307.30,21702954,208,416,131072,7282,7488
simple,delete,4,524288,2,2048,10,1275,10485,0.90,10485,10485,9066.611,1156.44,22185890,208,416,131072,7282,7488
simple,insert,4,524288,2,8192,10,1275,10485,0.90,10485,10485,96613.874,108.52,211683396,823,1646,131072,14564,14814
simple,update,4,524288,2,8192,10,1275,10485,0.90,10485,10485,39153.752,267.79,85681404,823,1646,131072,14564,14814
simple,delete,4,524288,2,8192,10,1275,10485,0.90,10485,10485,38571.678,271.83,86662090,823,1646,131072,14564,14814
simple,insert,4,2097152,2,256,10,1275,41943,0.90,41943,41943,26959.646,1555.77,32220338,29,58,524288,5519,5510
simple,update,4,2097152,2,256,10,1275,41943,0.90,41943,41943,11080.465,3785.31,12327224,29,58,524288,5519,5510
simple,delete,4,2097152,2,256,10,1275,41943,0.90,41943,41943,5886.925,7124.77,13670078,29,58,524288,5519,5510
simple,insert,4,2097152,2,2048,10,1275,41943,0.90,41943,41943,83384.784,503.01,218337846,208,416,524288,14564,14976
simple,update,4,2097152,2,2048,10,1275,41943,0.90,41943,41943,31540.179,1329.83,86818074,208,416,524288,14564,14976
simple,delete,4,2097152,2,2048,10,1275,41943,0.90,41943,41943,31951.541,1312.71,88749688,208,416,524288,14564,14976
simple,insert,4,2097152,2,8192,10,1275,41943,0.90,41943,41943,325627.710,128.81,854566856,823,1646,524288,29128,29628
simple,update,4,2097152,2,8192,10,1275,41943,0.90,41943,41943,130256.237,322.00,342750324,823,1646,524288,29128,29628
simple,delete,4,2097152,2,8192,10,1275,41943,0.90,41943,41943,130201.915,322.14,346672918,823,1646,524288,29128,29628
simple,insert,3,786432,2,256,10,1275,15728,0.90,15728,15728,9308.569,1689.63,20640602,29,58,262144,3913,3886
simple,update,3,786432,2,256,10,1275,15728,0.90,15728,15728,1996.762,7876.75,4559612,29,58,262144,3913,3886
simple,delete,3,786432,2,256,10,1275,15728,0.90,15728,15728,2232.765,7044.18,5063116,29,58,262144,3913,3886
simple,insert,3,786432,2,2048,10,1275,15728,0.90,15728,15728,33881.379,464.21,143543670,208,416,262144,10486,10400
simple,update,3,786432,2,2048,10,1275,15728,0.90,15728,15728,7344.895,2141.35,32492562,208,416,262144,10486,10400
simple,delete,3,786432,2,2048,10,1275,15728,0.90,15728,15728,7493.348,2098.93,33216846,208,416,262144,10486,10400
simple,insert,3,786432,2,8192,10,1275,15728,0.90,15728,15728,450773.823,34.89,559342276,823,1646,262144,20165,21398
simple,update,3,786432,2,8192,10,1275,15728,0.90,15728,15728,88740.738,177.24,128463312,823,1646,262144,20165,21398
simple,delete,3,786432,2,8192,10,1275,15728,0.90,15728,15728,86087.086,182.70,129934206,823,1646,262144,20165,21398
simple,insert,3,1572864,2,256,10,1275,31457,0.90,31457,31457,19189.062,1639.32,41282874,29,58,524288,5519,5510
simple,update,3,1572864,2,256,10,1275,31457,0.90,31457,31457,3989.296,7885.35,9119516,29,58,524288,5519,5510
simple,delete,3,1572864,2,256,10,1275,31457,0.90,31457,31457,4437.932,7088.21,10126734,29,58,524288,5519,5510
simple,insert,3,1572864,2,2048,10,1275,31457,0.90,31457,31457,107069.560,293.80,285027968,208,416,524288,14564,14976
simple,update,3,1572864,2,2048,10,1275,31457,0.90,31457,31457,23641.675,1330.57,64987206,208,416,524288,14564,14976
simple,delete,3,1572864,2,2048,10,1275,31457,0.90,31457,31457,24361.376,1291.27,66435994,208,416,524288,14564,14976
simple,insert,3,1572864,2,8192,10,1275,31457,0.90,31457,31457,448808.546,70.09,1127713256,823,1646,524288,29128,29628
simple,update,3,1572864,2,8192,10,1275,31457,0.90,31457,31457,91089.162,345.34,256934856,823,1646,524288,29128,29628
simple,delete,3,1572864,2,8192,10,1275,31457,0.90,31457,31457,99193.754,317.13,259876884,823,1646,524288,29128,29628
simple,insert,3,393216,3,256,10,1275,11796,0.90,11796,11796,6061.993,1945.89,10028088,29,87,131072,3361,3393
simple,update,3,393216,3,256,10,1275,11796,0.90,11796,11796,1971.351,5983.71,3419776,29,87,131072,3361,3393
simple,delete,3,393216,3,256,10,1275,11796,0.90,11796,11796,2248.569,5246.00,3797342,29,87,131072,3361,3393
simple,insert,3,393216,3,2048,10,1275,11796,0.90,11796,11796,39346.682,299.80,67822704,208,624,131072,9363,8736
simple,update,3,393216,3,2048,10,1275,11796,0.90,11796,11796,14048.811,839.64,24369936,208,624,131072,9363,8736
simple,delete,3,393216,3,2048,10,1275,11796,0.90,11796,11796,13731.617,859.04,24912642,208,624,131072,9363,8736
simple,insert,3,393216,3,8192,10,1275,11796,0.90,11796,11796,165148.719,71.43,265175292,823,2469,131072,18725,17283
simple,update,3,393216,3,8192,10,1275,11796,0.90,11796,11796,59008.600,199.90,96349536,823,2469,131072,18725,17283
simple,delete,3,393216,3,8192,10,1275,11796,0.90,11796,11796,60751.879,194.17,97450662,823,2469,131072,18725,17283
simple,insert,3,1572864,3,256,10,1275,47185,0.90,47185,47185,17779.967,2653.83,39598756,29,87,524288,6722,6786
simple,update,3,1572864,3,256,10,1275,47185,0.90,47185,47185,5901.945,7994.82,13679128,29,87,524288,6722,6786
simple,delete,3,1572864,3,256,10,1275,47185,0.90,47185,47185,6880.215,6858.07,15190000,29,87,524288,6722,6786
simple,insert,3,1572864,3,2048,10,1275,47185,0.90,47185,47185,63707.561,740.65,270817582,208,624,524288,18079,18096
simple,update,3,1572864,3,2048,10,1275,47185,0.90,47185,47185,22323.489,2113.69,97479768,208,624,524288,18079,18096
simple,delete,3,1572864,3,2048,10,1275,47185,0.90,47185,47185,22622.538,2085.75,99652990,208,624,524288,18079,18096
simple,insert,3,1572864,3,8192,10,1275,47185,0.90,47185,47185,672040.085,70.21,1064200974,823,2469,524288,34953,37035
simple,update,3,1572864,3,8192,10,1275,47185,0.90,47185,47185,238813.433,197.58,385398168,823,2469,524288,34953,37035
simple,delete,3,1572864,3,8192,10,1275,47185,0.90,47185,47185,245116.652,192.50,389811250,823,2469,524288,34953,37035
simple,insert,4,524288,3,256,10,1275,15728,0.90,15728,15728,5571.857,2822.76,8955830,29,87,131072,3361,3393
simple,update,4,524288,3,256,10,1275,15728,0.90,15728,15728,2742.419,5735.08,4622524,29,87,131072,3361,3393
simple,delete,4,524288,3,256,10,1275,15728,0.90,15728,15728,2985.135,5268.77,5126028,29,87,131072,3361,3393
simple,insert,4,524288,3,2048,10,1275,15728,0.90,15728,15728,38700.250,406.41,60737188,208,624,131072,9363,8736
simple,update,4,524288,3,2048,10,1275,15728,0.90,15728,15728,18667.066,842.55,32555474,208,624,131072,9363,8736
simple,delete,4,524288,3,2048,10,1275,15728,0.90,15728,15728,18541.825,848.24,33279758,208,624,131072,9363,8736
simple,insert,4,524288,3,8192,10,1275,15728,0.90,15728,15728,215921.383,72.84,238626130,823,2469,131072,18725,17283
simple,update,4,524288,3,8192,10,1275,15728,0.90,15728,15728,80538.673,195.29,128526224,823,2469,131072,18725,17283
simple,delete,4,524288,3,8192,10,1275,15728,0.90,15728,15728,79526.379,197.77,129997118,823,2469,131072,18725,17283
simple,insert,4,1048576,3,256,10,1275,31457,0.90,31457,31457,10990.857,2862.11,18019944,29,87,262144,4767,4785
simple,update,4,1048576,3,256,10,1275,31457,0.90,31457,31457,5282.170,5955.32,9245344,29,87,262144,4767,4785
simple,delete,4,1048576,3,256,10,1275,31457,0.90,31457,31457,5980.202,5260.19,10252562,29,87,262144,4767,4785
simple,insert,4,1048576,3,2048,10,1275,31457,0.90,31457,31457,54823.214,573.79,121981826,208,624,262144,13108,12480
simple,update,4,1048576,3,2048,10,1275,31457,0.90,31457,31457,24734.569,1271.78,65113034,208,624,262144,13108,12480
simple,delete,4,1048576,3,2048,10,1275,31457,0.90,31457,31457,24111.850,1304.63,66561822,208,624,262144,13108,12480
simple,insert,4,1048576,3,8192,10,1275,31457,0.90,31457,31457,222894.071,141.13,478776852,823,2469,262144,26215,24690
simple,update,4,1048576,3,8192,10,1275,31457,0.90,31457,31457,117308.040,268.16,257060684,823,2469,262144,26215,24690
simple,delete,4,1048576,3,8192,10,1275,31457,0.90,31457,31457,116783.010,269.36,260002712,823,2469,262144,26215,24690
