backend,mutation_kind,arity,num_buckets,bucket_size,value_bits,plaintext_bits,lwe_dim,n_mutations,load_factor,n_succeeded,total_ms,ops_per_s,cells_per_slot,row_width,segment_rows,db_rows,db_cols
frodo,delete,4,524288,3,2048,9,1566,15728,0.90,15728,7611.958,2066.22,232,696,131072,131072,696
frodo,insert,4,524288,3,8192,9,1566,15728,0.90,15728,124625.270,126.20,914,2742,131072,131072,2742
frodo,update,4,524288,3,8192,9,1566,15728,0.90,15728,71163.304,221.01,914,2742,131072,131072,2742
frodo,delete,4,524288,3,8192,9,1566,15728,0.90,15728,72840.664,215.92,914,2742,131072,131072,2742
frodo,insert,4,1048576,3,256,9,1566,31457,0.90,31457,2804.376,11217.11,32,96,262144,262144,96
frodo,update,4,1048576,3,256,9,1566,31457,0.90,31457,1361.780,23099.91,32,96,262144,262144,96
frodo,delete,4,1048576,3,256,9,1566,31457,0.90,31457,1547.286,20330.44,32,96,262144,262144,96
frodo,insert,4,1048576,3,2048,9,1566,31457,0.90,31457,28571.894,1100.98,232,696,262144,262144,696
frodo,update,4,1048576,3,2048,9,1566,31457,0.90,31457,14623.997,2151.05,232,696,262144,262144,696
frodo,delete,4,1048576,3,2048,9,1566,31457,0.90,31457,14795.978,2126.05,232,696,262144,262144,696
frodo,insert,4,1048576,3,8192,9,1566,31457,0.90,31457,253677.236,124.00,914,2742,262144,262144,2742
frodo,update,4,1048576,3,8192,9,1566,31457,0.90,31457,164789.760,190.89,914,2742,262144,262144,2742
frodo,delete,4,1048576,3,8192,9,1566,31457,0.90,31457,157164.946,200.15,914,2742,262144,262144,2742
simple,insert,2,262144,4,256,10,1275,10485,0.90,10485,4992.609,2100.10,29,116,131072,3856,3944
simple,update,2,262144,4,256,10,1275,10485,0.90,10485,800.440,13099.05,29,116,131072,3856,3944
simple,delete,2,262144,4,256,10,1275,10485,0.90,10485,894.375,11723.27,29,116,131072,3856,3944
simple,insert,2,262144,4,2048,10,1275,10485,0.90,10485,33187.992,315.93,208,832,131072,10083,10816
simple,update,2,262144,4,2048,10,1275,10485,0.90,10485,5835.358,1796.81,208,832,131072,10083,10816
simple,delete,2,262144,4,2048,10,1275,10485,0.90,10485,5949.485,1762.34,208,832,131072,10083,10816
simple,insert,2,262144,4,8192,10,1275,10485,0.90,10485,135067.233,77.63,823,3292,131072,21846,19752
simple,update,2,262144,4,8192,10,1275,10485,0.90,10485,23190.949,452.12,823,3292,131072,21846,19752
simple,delete,2,262144,4,8192,10,1275,10485,0.90,10485,55182.500,190.01,823,3292,131072,21846,19752
simple,insert,2,1048576,4,256,10,1275,41943,0.90,41943,27782.448,1509.69,29,116,524288,7826,7772
simple,update,2,1048576,4,256,10,1275,41943,0.90,41943,4246.936,9876.06,29,116,524288,7826,7772
simple,delete,2,1048576,4,256,10,1275,41943,0.90,41943,4617.206,9084.07,29,116,524288,7826,7772
simple,insert,2,1048576,4,2048,10,1275,41943,0.90,41943,129928.036,322.82,208,832,524288,20972,20800
simple,update,2,1048576,4,2048,10,1275,41943,0.90,41943,23297.347,1800.33,208,832,524288,20972,20800
simple,delete,2,1048576,4,2048,10,1275,41943,0.90,41943,23925.257,1753.08,208,832,524288,20972,20800
simple,insert,2,1048576,4,8192,10,1275,41943,0.90,41943,1370157.276,30.61,823,3292,524288,40330,42796
simple,update,2,1048576,4,8192,10,1275,41943,0.90,41943,201964.919,207.67,823,3292,524288,40330,42796
simple,delete,2,1048576,4,8192,10,1275,41943,0.90,41943,204533.171,205.07,823,3292,524288,40330,42796
simple,insert,4,1048576,1,256,10,1275,10485,0.90,10485,12932.714,810.73,29,29,262144,2760,2755
simple,update,4,1048576,1,256,10,1275,10485,0.90,10485,1711.279,6126.99,29,29,262144,2760,2755
simple,delete,4,1048576,1,256,10,1275,10485,0.90,10485,1970.433,5321.17,29,29,262144,2760,2755
simple,insert,4,1048576,1,2048,10,1275,10485,0.90,10485,74806.994,140.16,208,208,262144,7282,7488
simple,update,4,1048576,1,2048,10,1275,10485,0.90,10485,10882.769,963.45,208,208,262144,7282,7488
simple,delete,4,1048576,1,2048,10,1275,10485,0.90,10485,11068.360,947.29,208,208,262144,7282,7488
simple,insert,4,1048576,1,8192,10,1275,10485,0.90,10485,320995.652,32.66,823,823,262144,14564,14814
simple,update,4,1048576,1,8192,10,1275,10485,0.90,10485,36367.999,288.30,823,823,262144,14564,14814
simple,delete,4,1048576,1,8192,10,1275,10485,0.90,10485,36625.742,286.27,823,823,262144,14564,14814
simple,insert,4,4194304,1,256,10,1275,41943,0.90,41943,39694.451,1056.65,29,29,1048576,5519,5510
simple,update,4,4194304,1,256,10,1275,41943,0.90,41943,5306.134,7904.63,29,29,1048576,5519,5510
simple,delete,4,4194304,1,256,10,1275,41943,0.90,41943,6467.202,6485.49,29,29,1048576,5519,5510
simple,insert,4,4194304,1,2048,10,1275,41943,0.90,41943,351225.156,119.42,208,208,1048576,14769,14768
simple,update,4,4194304,1,2048,10,1275,41943,0.90,41943,49548.146,846.51,208,208,1048576,14769,14768
simple,delete,4,4194304,1,2048,10,1275,41943,0.90,41943,50745.097,826.54,208,208,1048576,14769,14768
simple,insert,4,4194304,1,8192,10,1275,41943,0.90,41943,811404.893,51.69,823,823,1048576,29128,29628
simple,update,4,4194304,1,8192,10,1275,41943,0.90,41943,119483.317,351.04,823,823,1048576,29128,29628
simple,delete,4,4194304,1,8192,10,1275,41943,0.90,41943,119650.428,350.55,823,823,1048576,29128,29628
simple,insert,4,524288,2,256,10,1275,10485,0.90,10485,2047.149,5121.76,29,58,131072,2731,2784
simple,update,4,524288,2,256,10,1275,10485,0.90,10485,712.235,14721.26,29,58,131072,2731,2784
simple,delete,4,524288,2,256,10,1275,10485,0.90,10485,823.356,12734.46,29,58,131072,2731,2784
simple,insert,4,524288,2,2048,10,1275,10485,0.90,10485,29216.014,358.88,208,416,131072,7282,7488
simple,update,4,524288,2,2048,10,1275,10485,0.90,10485,10881.305,963.58,208,416,131072,7282,7488
simple,delete,4,524288,2,2048,10,1275,10485,0.90,10485,11144.168,940.85,208,416,131072,7282,7488
simple,insert,4,524288,2,8192,10,1275,10485,0.90,10485,94128.088,111.39,823,1646,131072,14564,14814
simple,update,4,524288,2,8192,10,1275,10485,0.90,10485,36139.659,290.12,823,1646,131072,14564,14814
simple,delete,4,524288,2,8192,10,1275,10485,0.90,10485,76021.670,137.92,823,1646,131072,14564,14814
simple,insert,4,2097152,2,256,10,1275,41943,0.90,41943,27315.495,1535.50,29,58,524288,5519,5510
simple,update,4,2097152,2,256,10,1275,41943,0.90,41943,8371.744,5010.07,29,58,524288,5519,5510
simple,delete,4,2097152,2,256,10,1275,41943,0.90,41943,5817.741,7209.50,29,58,524288,5519,5510
simple,insert,4,2097152,2,2048,10,1275,41943,0.90,41943,76912.609,545.33,208,416,524288,14564,14976
simple,update,4,2097152,2,2048,10,1275,41943,0.90,41943,30784.279,1362.48,208,416,524288,14564,14976
simple,delete,4,2097152,2,2048,10,1275,41943,0.90,41943,30824.423,1360.71,208,416,524288,14564,14976
simple,insert,4,2097152,2,8192,10,1275,41943,0.90,41943,302761.150,138.53,823,1646,524288,29128,29628
simple,update,4,2097152,2,8192,10,1275,41943,0.90,41943,120707.872,347.48,823,1646,524288,29128,29628
simple,delete,4,2097152,2,8192,10,1275,41943,0.90,41943,119290.564,351.60,823,1646,524288,29128,29628
simple,insert,3,786432,2,256,10,1275,15728,0.90,15728,9203.024,1709.00,29,58,262144,3913,3886
simple,update,3,786432,2,256,10,1275,15728,0.90,15728,1855.616,8475.89,29,58,262144,3913,3886
simple,delete,3,786432,2,256,10,1275,15728,0.90,15728,2051.728,7665.73,29,58,262144,3913,3886
simple,insert,3,786432,2,2048,10,1275,15728,0.90,15728,33942.509,463.37,208,416,262144,10486,10400
simple,update,3,786432,2,2048,10,1275,15728,0.90,15728,7769.251,2024.39,208,416,262144,10486,10400
simple,delete,3,786432,2,2048,10,1275,15728,0.90,15728,7710.068,2039.93,208,416,262144,10486,10400
simple,insert,3,786432,2,8192,10,1275,15728,0.90,15728,451880.420,34.81,823,1646,262144,20165,21398
simple,update,3,786432,2,8192,10,1275,15728,0.90,15728,100106.790,157.11,823,1646,262144,20165,21398
simple,delete,3,786432,2,8192,10,1275,15728,0.90,15728,101505.698,154.95,823,1646,262144,20165,21398
simple,insert,3,1572864,2,256,10,1275,31457,0.90,31457,18708.778,1681.40,29,58,524288,5519,5510
simple,update,3,1572864,2,256,10,1275,31457,0.90,31457,3879.840,8107.81,29,58,524288,5519,5510
simple,delete,3,1572864,2,256,10,1275,31457,0.90,31457,4404.188,7142.52,29,58,524288,5519,5510
simple,insert,3,1572864,2,2048,10,1275,31457,0.90,31457,101450.482,310.07,208,416,524288,14564,14976
simple,update,3,1572864,2,2048,10,1275,31457,0.90,31457,23100.489,1361.75,208,416,524288,14564,14976
simple,delete,3,1572864,2,2048,10,1275,31457,0.90,31457,22990.218,1368.28,208,416,524288,14564,14976
simple,insert,3,1572864,2,8192,10,1275,31457,0.90,31457,389853.688,80.69,823,1646,524288,29128,29628
simple,update,3,1572864,2,8192,10,1275,31457,0.90,31457,88661.483,354.80,823,1646,524288,29128,29628
simple,delete,3,1572864,2,8192,10,1275,31457,0.90,31457,89241.167,352.49,823,1646,524288,29128,29628
simple,insert,3,393216,3,256,10,1275,11796,0.90,11796,6067.018,1944.28,29,87,131072,3361,3393
simple,update,3,393216,3,256,10,1275,11796,0.90,11796,1925.747,6125.41,29,87,131072,3361,3393
simple,delete,3,393216,3,256,10,1275,11796,0.90,11796,2143.738,5502.54,29,87,131072,3361,3393
simple,insert,3,393216,3,2048,10,1275,11796,0.90,11796,42623.113,276.75,208,624,131072,9363,8736
simple,update,3,393216,3,2048,10,1275,11796,0.90,11796,14880.576,792.71,208,624,131072,9363,8736
simple,delete,3,393216,3,2048,10,1275,11796,0.90,11796,15182.802,776.93,208,624,131072,9363,8736
simple,insert,3,393216,3,8192,10,1275,11796,0.90,11796,164086.935,71.89,823,2469,131072,18725,17283
simple,update,3,393216,3,8192,10,1275,11796,0.90,11796,59068.542,199.70,823,2469,131072,18725,17283
simple,delete,3,393216,3,8192,10,1275,11796,0.90,11796,59763.038,197.38,823,2469,131072,18725,17283
simple,insert,3,1572864,3,256,10,1275,47185,0.90,47185,17827.556,2646.75,29,87,524288,6722,6786
simple,update,3,1572864,3,256,10,1275,47185,0.90,47185,5867.631,8041.58,29,87,524288,6722,6786
simple,delete,3,1572864,3,256,10,1275,47185,0.90,47185,6826.851,6911.68,29,87,524288,6722,6786
simple,insert,3,1572864,3,2048,10,1275,47185,0.90,47185,63648.050,741.34,208,624,524288,18079,18096
simple,update,3,1572864,3,2048,10,1275,47185,0.90,47185,22737.557,2075.20,208,624,524288,18079,18096
