scheme,arity,num_buckets,bucket_size,degree,count
segmented,2,65536,4,21,1
segmented,2,65536,4,23,1
standard,2,65536,4,0,21
standard,2,65536,4,1,238
standard,2,65536,4,2,858
standard,2,65536,4,3,2297
standard,2,65536,4,4,4295
standard,2,65536,4,5,6570
standard,2,65536,4,6,8656
standard,2,65536,4,7,9319
standard,2,65536,4,8,9134
standard,2,65536,4,9,7898
standard,2,65536,4,10,5949
standard,2,65536,4,11,4274
standard,2,65536,4,12,2750
standard,2,65536,4,13,1590
standard,2,65536,4,14,877
standard,2,65536,4,15,445
standard,2,65536,4,16,199
standard,2,65536,4,17,101
standard,2,65536,4,18,41
standard,2,65536,4,19,13
standard,2,65536,4,20,6
standard,2,65536,4,21,2
standard,2,65536,4,22,2
standard,2,65536,4,25,1
segmented,3,49152,4,0,1
segmented,3,49152,4,1,2
segmented,3,49152,4,2,26
segmented,3,49152,4,3,81
segmented,3,49152,4,4,279
segmented,3,49152,4,5,663
segmented,3,49152,4,6,1329
segmented,3,49152,4,7,2231
segmented,3,49152,4,8,3225
segmented,3,49152,4,9,4306
segmented,3,49152,4,10,5235
segmented,3,49152,4,11,5637
segmented,3,49152,4,12,5702
segmented,3,49152,4,13,5071
segmented,3,49152,4,14,4511
segmented,3,49152,4,15,3585
segmented,3,49152,4,16,2599
segmented,3,49152,4,17,1780
segmented,3,49152,4,18,1164
segmented,3,49152,4,19,738
segmented,3,49152,4,20,458
segmented,3,49152,4,21,269
segmented,3,49152,4,22,113
segmented,3,49152,4,23,79
segmented,3,49152,4,24,30
segmented,3,49152,4,25,23
segmented,3,49152,4,26,9
segmented,3,49152,4,27,4
segmented,3,49152,4,29,2
standard,3,59049,4,1,5
standard,3,59049,4,2,32
standard,3,59049,4,3,101
standard,3,59049,4,4,319
standard,3,59049,4,5,739
standard,3,59049,4,6,1535
standard,3,59049,4,7,2729
standard,3,59049,4,8,3983
standard,3,59049,4,9,5294
standard,3,59049,4,10,6307
standard,3,59049,4,11,6840
standard,3,59049,4,12,6679
standard,3,59049,4,13,6124
standard,3,59049,4,14,5353
standard,3,59049,4,15,4029
standard,3,59049,4,16,3125
standard,3,59049,4,17,2326
standard,3,59049,4,18,1440
standard,3,59049,4,19,904
standard,3,59049,4,20,535
standard,3,59049,4,21,307
standard,3,59049,4,22,183
standard,3,59049,4,23,84
standard,3,59049,4,24,49
standard,3,59049,4,25,16
standard,3,59049,4,26,7
standard,3,59049,4,27,3
standard,3,59049,4,28,1
segmented,4,65536,4,2,1
segmented,4,65536,4,3,4
segmented,4,65536,4,4,20
segmented,4,65536,4,5,65
segmented,4,65536,4,6,175
segmented,4,65536,4,7,390
segmented,4,65536,4,8,800
segmented,4,65536,4,9,1393
segmented,4,65536,4,10,2324
segmented,4,65536,4,11,3270
segmented,4,65536,4,12,4345
segmented,4,65536,4,13,5394
segmented,4,65536,4,14,6148
segmented,4,65536,4,15,6456
segmented,4,65536,4,16,6495
segmented,4,65536,4,17,6111
segmented,4,65536,4,18,5415
segmented,4,65536,4,19,4570
segmented,4,65536,4,20,3727
segmented,4,65536,4,21,2805
segmented,4,65536,4,22,1979
segmented,4,65536,4,23,1392
segmented,4,65536,4,24,902
segmented,4,65536,4,25,562
segmented,4,65536,4,26,343
segmented,4,65536,4,27,197
segmented,4,65536,4,28,122
segmented,4,65536,4,29,64
segmented,4,65536,4,30,36
segmented,4,65536,4,31,14
segmented,4,65536,4,32,7
segmented,4,65536,4,33,8
segmented,4,65536,4,34,1
segmented,4,65536,4,35,1
standard,4,65536,4,2,3
standard,4,65536,4,3,7
standard,4,65536,4,4,31
standard,4,65536,4,5,75
standard,4,65536,4,6,195
standard,4,65536,4,7,401
standard,4,65536,4,8,789
standard,4,65536,4,9,1480
standard,4,65536,4,10,2247
standard,4,65536,4,11,3264
standard,4,65536,4,12,4309
standard,4,65536,4,13,5289
standard,4,65536,4,14,6265
standard,4,65536,4,15,6517
standard,4,65536,4,16,6533
standard,4,65536,4,17,6081
standard,4,65536,4,18,5409
